filename,split,angle_bin,offset_bin,stratum,delta_theta_deg,delta_rho_px,delta_rho_norm,iou,latency_ms,failed
04_10m34s-11m00s_fpv_treeline_f014.jpg,train,flat,mid,flat_mid,1.7810,8.4582,0.017621,,2.018,0
04_10m34s-11m00s_fpv_treeline_f015.jpg,train,flat,mid,flat_mid,0.5802,2.9571,0.006161,,2.068,0
04_10m34s-11m00s_fpv_treeline_f016.jpg,train,flat,mid,flat_mid,0.6236,4.7316,0.009857,,2.021,0
04_10m34s-11m00s_fpv_treeline_f017.jpg,train,flat,mid,flat_mid,3.5912,29.3338,0.061112,,1.984,0
04_10m34s-11m00s_fpv_treeline_f018.jpg,train,flat,mid,flat_mid,0.6145,1.6270,0.003390,,2.003,0
04_10m34s-11m00s_fpv_treeline_f020.jpg,train,flat,mid,flat_mid,0.6189,3.0244,0.006301,,2.109,0
04_10m34s-11m00s_fpv_treeline_f024.jpg,train,flat,mid,flat_mid,1.0016,8.3157,0.017324,,2.040,0
04_10m34s-11m00s_fpv_treeline_f025.jpg,train,flat,mid,flat_mid,1.1096,16.5727,0.034526,,1.961,0
04_10m34s-11m00s_fpv_treeline_f036.jpg,train,flat,mid,flat_mid,15.1342,61.7837,0.128716,,1.973,0
04_10m34s-11m00s_fpv_treeline_f037.jpg,train,flat,mid,flat_mid,24.6195,143.4431,0.298840,,1.974,0
04_10m34s-11m00s_fpv_treeline_f040.jpg,train,flat,mid,flat_mid,14.5410,14.1159,0.029408,,1.976,0
04_10m34s-11m00s_fpv_treeline_f049.jpg,train,flat,mid,flat_mid,1.3883,5.5887,0.011643,,2.053,0
04_10m34s-11m00s_fpv_treeline_f050.jpg,train,flat,mid,flat_mid,5.9129,85.6801,0.178500,,1.971,0
04_10m34s-11m00s_fpv_treeline_f051.jpg,train,flat,mid,flat_mid,16.5485,14.6526,0.030526,,1.972,0
05_11m00s-11m04s_fpv_road_approach_f000.jpg,train,flat,mid,flat_mid,6.4597,140.6829,0.293089,,2.007,0
05_11m00s-11m04s_fpv_road_approach_f001.jpg,train,flat,mid,flat_mid,8.8288,172.1768,0.358702,,2.068,0
05_11m00s-11m04s_fpv_road_approach_f003.jpg,train,flat,mid,flat_mid,19.2515,41.6245,0.086718,,2.043,0
05_11m00s-11m04s_fpv_road_approach_f005.jpg,train,flat,mid,flat_mid,26.5368,96.2364,0.200492,,1.981,0
07_06m18s-06m25s_ground_pov_f001.jpg,train,flat,mid,flat_mid,1.0729,6.0537,0.012612,,2.070,0
07_06m18s-06m25s_ground_pov_f002.jpg,train,flat,mid,flat_mid,0.7800,1.3562,0.002825,,2.092,0
07_06m18s-06m25s_ground_pov_f003.jpg,train,flat,mid,flat_mid,0.2342,4.6897,0.009770,,2.040,0
07_06m18s-06m25s_ground_pov_f004.jpg,train,flat,mid,flat_mid,0.5535,0.6302,0.001313,,2.089,0
07_06m18s-06m25s_ground_pov_f009.jpg,train,flat,mid,flat_mid,0.2781,0.8012,0.001669,,2.057,0
07_06m18s-06m25s_ground_pov_f010.jpg,train,flat,mid,flat_mid,0.2271,1.2030,0.002506,,1.989,0
07_06m18s-06m25s_ground_pov_f011.jpg,train,flat,mid,flat_mid,1.6738,14.4442,0.030092,,2.025,0
07_06m18s-06m25s_ground_pov_f012.jpg,train,flat,mid,flat_mid,0.2387,0.4603,0.000959,,2.137,0
07_06m18s-06m25s_ground_pov_f013.jpg,train,flat,mid,flat_mid,0.2599,0.4151,0.000865,,2.009,0
01_01m32s-01m55s_aerial_recon_f014.jpg,train,moderate,low,moderate_low,62.0194,66.2749,0.138073,,2.108,0
01_01m32s-01m55s_aerial_recon_f017.jpg,train,moderate,low,moderate_low,26.7869,38.1904,0.079563,,2.111,0
01_01m32s-01m55s_aerial_recon_f038.jpg,train,moderate,low,moderate_low,15.8776,249.4151,0.519615,,2.201,0
01_01m32s-01m55s_aerial_recon_f039.jpg,train,moderate,low,moderate_low,47.0523,69.4968,0.144785,,2.080,0
04_10m34s-11m00s_fpv_treeline_f043.jpg,train,moderate,low,moderate_low,40.1403,323.7184,0.674413,,2.024,0
04_10m34s-11m00s_fpv_treeline_f044.jpg,train,moderate,low,moderate_low,31.3788,265.2469,0.552598,,1.975,0
04_10m34s-11m00s_fpv_treeline_f045.jpg,train,moderate,low,moderate_low,28.1879,219.5928,0.457485,,2.050,0
04_10m34s-11m00s_fpv_treeline_f042.jpg,train,moderate,mid,moderate_mid,28.7004,119.1378,0.248204,,1.962,0
07_06m18s-06m25s_ground_pov_f006.jpg,test,flat,high,flat_high,0.6264,0.5513,0.001149,,1.946,0
01_01m32s-01m55s_aerial_recon_f007.jpg,test,flat,low,flat_low,6.6571,234.2465,0.488013,,2.092,0
01_01m32s-01m55s_aerial_recon_f008.jpg,test,flat,low,flat_low,9.6609,12.9182,0.026913,,2.039,0
01_01m32s-01m55s_aerial_recon_f021.jpg,test,flat,low,flat_low,19.9980,414.7846,0.864135,,2.074,0
