filename,split,angle_bin,offset_bin,stratum,delta_theta_deg,delta_rho_px,delta_rho_norm,iou,latency_ms,failed
a2-converted.mp4-00.04.57.869-00.05.42.169_10.jpg,train,flat,mid,flat_mid,0.8105,9.4566,0.019701,0.9635,20.592,0
a2-converted.mp4-00.04.57.869-00.05.42.169_30.jpg,train,flat,mid,flat_mid,3.5588,29.6836,0.061841,0.9394,36.252,0
a2-converted.mp4-00.04.57.869-00.05.42.169_50.jpg,train,flat,mid,flat_mid,0.0899,8.2978,0.017287,0.9690,24.602,0
a2-converted.mp4-00.06.13.959-00.06.43.015_20.jpg,train,flat,mid,flat_mid,0.1533,5.9927,0.012485,0.9694,24.560,0
a2-converted.mp4-00.06.55.028-00.07.05.888_0.jpg,train,flat,mid,flat_mid,0.2843,2.6003,0.005417,0.9810,21.988,0
a2-converted.mp4-00.07.54.791-00.08.31.469_0.jpg,train,flat,mid,flat_mid,0.5871,4.4970,0.009369,0.9748,21.547,0
a2-converted.mp4-00.07.54.791-00.08.31.469_20.jpg,train,flat,mid,flat_mid,0.6072,9.2944,0.019363,0.9537,21.229,0
a2-converted.mp4-00.07.54.791-00.08.31.469_30.jpg,train,flat,mid,flat_mid,1.3075,1.0527,0.002193,0.9717,24.244,0
a2-converted.mp4-00.07.54.791-00.08.31.469_40.jpg,train,flat,mid,flat_mid,0.6442,0.7572,0.001578,0.9498,93.809,0
a2-converted.mp4-00.08.34.720-00.08.49.080_10.jpg,train,flat,mid,flat_mid,1.1086,2.0031,0.004173,0.9771,21.869,0
a3-converted.mp4-00.05.14.880-00.05.57.073_0.jpg,train,flat,mid,flat_mid,1.4877,1.0417,0.002170,0.9808,22.713,0
a3-converted.mp4-00.05.14.880-00.05.57.073_40.jpg,train,flat,mid,flat_mid,0.6157,12.3501,0.025729,0.9634,21.323,0
a3-converted.mp4-00.06.23.404-00.07.02.976_20.jpg,train,flat,mid,flat_mid,1.5950,0.1848,0.000385,0.9634,30.713,0
a3-converted.mp4-00.07.29.948-00.07.39.727_0.jpg,train,flat,mid,flat_mid,1.0844,3.8625,0.008047,0.9686,22.155,0
a3-converted.mp4-00.08.04.849-00.09.06.443_10.jpg,train,flat,mid,flat_mid,1.6683,2.2765,0.004743,0.9822,29.427,0
a3-converted.mp4-00.08.04.849-00.09.06.443_20.jpg,train,flat,mid,flat_mid,0.0135,7.6891,0.016019,0.9607,22.033,0
a3-converted.mp4-00.08.04.849-00.09.06.443_40.jpg,train,flat,mid,flat_mid,0.6328,5.6322,0.011734,0.9700,21.036,0
a3-converted.mp4-00.08.04.849-00.09.06.443_60.jpg,train,flat,mid,flat_mid,0.3780,10.8347,0.022572,0.9627,18.853,0
a4-converted.mp4-00.02.43.911-00.03.05.670_10.jpg,train,flat,mid,flat_mid,0.3469,12.0529,0.025110,0.9554,30.817,0
a4-converted.mp4-00.03.39.593-00.04.05.961_0.jpg,train,flat,mid,flat_mid,0.3493,6.5234,0.013590,0.9677,18.217,0
a4-converted.mp4-00.03.39.593-00.04.05.961_20.jpg,train,flat,mid,flat_mid,0.3821,9.2795,0.019332,0.9673,23.654,0
a4-converted.mp4-00.03.39.593-00.04.05.961_30.jpg,train,flat,mid,flat_mid,0.2343,8.9533,0.018653,0.9651,18.886,0
a4-converted.mp4-00.04.21.286-00.04.48.939_0.jpg,train,flat,mid,flat_mid,1.4080,1.0746,0.002239,0.9710,25.675,0
a4-converted.mp4-00.04.21.286-00.04.48.939_30.jpg,train,flat,mid,flat_mid,1.7987,2.1716,0.004524,0.9564,33.873,0
a4-converted.mp4-00.05.07.296-00.05.18.798_0.jpg,train,flat,mid,flat_mid,0.4515,5.1626,0.010755,0.9741,19.877,0
a4-converted.mp4-00.05.07.296-00.05.18.798_20.jpg,train,flat,mid,flat_mid,1.2039,1.0806,0.002251,0.9812,44.109,0
a4-converted.mp4-00.05.45.507-00.06.26.877_60.jpg,train,flat,mid,flat_mid,1.7308,1.2424,0.002588,0.9738,23.068,0
b1-converted.mp4-00.06.27.152-00.06.29.157_0.jpg,train,flat,mid,flat_mid,2.0186,5.2005,0.010834,0.9387,135.848,0
b1-converted.mp4-00.08.35.755-00.09.04.151_10.jpg,train,flat,mid,flat_mid,0.8138,2.0058,0.004179,0.9948,42.151,0
b1-converted.mp4-00.08.35.755-00.09.04.151_30.jpg,train,flat,mid,flat_mid,0.8207,6.8718,0.014316,0.9336,110.753,0
b1-converted.mp4-00.08.35.755-00.09.04.151_40.jpg,train,flat,mid,flat_mid,2.8965,6.3448,0.013218,0.8832,157.379,0
b4-converted.mp4-00.04.19.025-00.04.25.780_0.jpg,train,flat,mid,flat_mid,2.5295,6.4143,0.013363,0.9957,43.883,0
b4-converted.mp4-00.04.29.322-00.04.46.474_0.jpg,train,flat,mid,flat_mid,0.8537,9.6020,0.020004,0.8977,202.937,0
b4-converted.mp4-00.04.29.322-00.04.46.474_20.jpg,train,flat,mid,flat_mid,0.8639,9.8378,0.020495,0.9460,104.886,0
